Description;Type
NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;scrb-120
NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;mir-120
NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;scrb-20
NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;mir-20
NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;mir-120
NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;scrb-120
NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;mir-20
NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;mir-120
NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;scrb-20
NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;scrb-120
NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;mir-20
NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20;scrb-20
