feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_02655;11;17;4;17;14;8;14;18;11;19;11;17
NMG90_24680;4;7;0;11;8;12;13;17;7;6;14;6
NMG90_22655;617;1254;370;519;376;422;977;621;887;1539;441;721
NMG90_08730;1440;1223;2048;1917;839;1126;2691;1167;1452;2133;1658;1342
NMG90_18615;49;38;28;63;38;40;33;53;38;77;29;54
NMG90_22200;1534;975;433;489;635;958;553;1176;352;915;480;442
NMG90_18415;7701;4527;13508;22491;3518;5582;29286;7018;28601;9867;20445;24262
NMG90_15335;704;540;686;600;494;357;957;542;614;752;562;908
NMG90_07905;58;87;101;148;71;101;168;57;87;114;91;90
NMG90_24710;1;1;7;0;15;0;17;5;11;3;0;6
NMG90_09290;452;330;793;898;274;332;1334;336;789;816;659;708
NMG90_21195;600;561;572;536;365;523;644;545;343;607;482;502
NMG90_00290;463;327;334;309;207;267;504;274;329;551;363;259
NMG90_15350;410;392;347;494;345;263;628;520;451;720;432;489
NMG90_24220;5014;6078;4770;3181;3856;5997;4360;5296;3274;4718;3432;2544
NMG90_18905;2145;1573;1664;1822;1141;877;2292;1332;1945;1718;1559;2760
NMG90_15610;80;65;115;198;60;83;317;87;168;97;134;165
NMG90_00925;526;487;541;751;340;524;951;505;582;652;664;657
NMG90_04760;583;111;131;107;123;208;139;206;93;79;184;203
NMG90_24385;83657;60363;85687;85286;42360;57863;120562;73155;71955;63583;91374;75175
NMG90_07030;401;292;228;260;257;244;361;305;274;388;279;249
NMG90_04345;4238;2448;1407;1161;2045;2382;1504;2400;985;1852;1313;1548
NMG90_05775;4;3;8;5;2;4;12;0;5;2;4;10
NMG90_20285;95907;108687;64578;66835;59617;86750;105016;88024;53487;86656;75967;65066
NMG90_10835;16;17;24;33;10;17;25;13;28;17;29;38
NMG90_07675;81;63;96;135;50;54;210;96;205;149;99;99
NMG90_16310;94741;61031;22019;28403;41323;79819;41704;74805;14801;28489;31321;34675
NMG90_17665;1543;1040;1050;838;648;1093;1209;1128;779;913;842;901
NMG90_12630;97775;86549;49450;57469;57127;87919;96996;88799;39465;84866;56139;64886
NMG90_04235;6140;5733;5003;3714;3951;4043;5137;4467;4141;6516;3606;3869
NMG90_18670;1039;949;2281;2695;901;578;3317;881;3930;1439;2016;3354
NMG90_20515;177;247;313;229;126;149;445;204;277;336;225;238
NMG90_18025;1422;1159;1470;1301;1036;1225;1401;1006;982;1766;1207;995
NMG90_25250;389;291;262;303;240;190;411;249;262;422;231;321
NMG90_07545;63966;59711;96965;101909;71129;49010;104693;61536;103611;94146;74467;89006
NMG90_12485;293;138;231;219;104;173;353;97;110;245;319;303
NMG90_20225;113;113;111;102;65;148;100;122;116;160;141;62
NMG90_18780;24210;23708;34705;37934;21462;11483;36005;20815;57362;35742;27034;42155
NMG90_02350;119;136;131;92;91;115;179;111;81;211;119;98
NMG90_05550;8867;6184;3776;3263;3807;4862;4283;5623;3007;6564;2937;3797
NMG90_25265;607;488;598;527;367;366;717;346;455;593;461;450
NMG90_16960;6904;4041;4244;4919;2746;2847;5580;3841;4396;3424;4861;6452
NMG90_19520;28;45;33;57;29;26;89;24;60;72;46;45
NMG90_03045;1448;1128;773;898;1028;1004;1139;1220;968;1385;725;1102
NMG90_23040;128167;103400;57225;65361;72347;76694;98611;96303;66541;48321;74541;127850
NMG90_00885;2018;1523;2274;2640;1831;927;2818;2000;2544;2202;2173;2484
NMG90_23775;20;20;23;12;17;21;48;42;19;44;27;29
