"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"1" "NMG90_00005" 7.48734157083364 0.188850056854371 0.797682722920081 0.236748335432221 0.812852034457013 0.99588490034801 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF13135.5" "DUF3947" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"2" "NMG90_00010" 5.7242626019898 0.0686893645847176 0.837092258022512 0.0820571017428647 0.934601305882018 0.99588490034801 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"3" "NMG90_00015" 13573.7399067712 0.0316508189561724 0.215221275780561 0.147061756981887 0.883083275124701 0.99588490034801 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"4" "NMG90_00020" 2073.19311343214 0.0287560263704326 0.217477018295982 0.132225586849348 0.894805863424478 0.99588490034801 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"5" "NMG90_00025" 2965.38173786774 0.0632978564184045 0.173949623287801 0.363886136813746 0.715943037241511 0.99588490034801 "NULL" "NULL" "thioredoxin family protein" "NULL" "NULL" "NULL" "NULL" "PF00085.19" "Thioredoxin" "-" "NULL" "NULL" "NULL" "NULL" "COG0526" "TrxA" "Thiol-disulfide isomerase and thioredoxins" "Posttranslational modification, protein turnover, chaperones / Energy production and conversion" "KOG0910" "KOG0910" "Thioredoxin-like protein" "Posttranslational modification, protein turnover, chaperones" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"6" "NMG90_00030" 416.16530471974 -0.0202383736649704 0.246081881948248 -0.0822424369674912 0.934453927904258 0.99588490034801 "NULL" "NULL" "cation diffusion facilitator family transporter" "NULL" "NULL" "NULL" "NULL" "PF01545.20" "Cation_efflux" "-" "NULL" "NULL" "NULL" "NULL" "COG0053" "MMT1" "Predicted Co/Zn/Cd cation transporters" "Inorganic ion transport and metabolism" "KOG1485" "KOG1485" "Mitochondrial Fe2+ transporter MMT1 and related transporters (cation diffusion facilitator superfamily)" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"7" "NMG90_00035" 1484.09732845998 -0.0767766251092224 0.116523833178841 -0.658892031052442 0.509965103490415 0.99588490034801 "bcrC" "K19302" "undecaprenyl-diphosphatase" "NULL" "NULL" "ko00550" "Peptidoglycan biosynthesis" "PF01569.20" "PAP2" "-" "NULL" "NULL" "NULL" "NULL" "COG0671" "PgpB" "Membrane-associated phospholipid phosphatase" "Lipid metabolism" "KOG2822" "KOG2822" "Sphingoid base-phosphate phosphatase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"8" "NMG90_00040" 3445.94876521463 -0.0426279299817845 0.108923552139427 -0.391356406805562 0.695533810188265 0.99588490034801 "spo0M" "K06377" "sporulation-control protein" "NULL" "NULL" "NULL" "NULL" "PF07070.10" "Spo0M" "-" "NULL" "NULL" "NULL" "NULL" "COG4326" "Spo0M" "Sporulation control protein" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"9" "NMG90_00045" 3145.12106064267 -0.12231830904084 0.127276594350701 -0.961043227663691 0.336530433180745 0.99588490034801 "K08884" "K08884" "serine/threonine protein kinase, bacterial" "NULL" "NULL" "NULL" "NULL" "PF00069.24" "Pkinase" "-" "NULL" "NULL" "NULL" "NULL" "COG0515" "SPS1" "Serine/threonine protein kinase" "General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair" "KOG0598" "KOG0598" "Ribosomal protein S6 kinase and related proteins" "General function prediction only, Signal transduction mechanisms" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"10" "NMG90_00050" 1511.33393167814 -0.0321139775333499 0.153253667624987 -0.20954785638105 0.834020580526718 0.99588490034801 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
