"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"68" "NMG90_00345" 195.200722766245 0.751094134014151 0.353148112504039 2.12685303253761 0.0334322963240633 1 "acpD, azoR" "K01118" "FMN-dependent NADH-azoreductase" "NULL" "NULL" "NULL" "NULL" "PF02525.16" "Flavodoxin_2" "-" "NULL" "NULL" "NULL" "NULL" "COG1182" "AcpD" "Acyl carrier protein phosphodiesterase" "Lipid metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"73" "NMG90_00375" 218.725092081402 -0.429249809250759 0.210061286270104 -2.04345035143132 0.0410078774170269 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"156" "NMG90_00860" 131.227866367183 -0.58170976256078 0.223074631871952 -2.60769123624371 0.00911551367559705 1 "NULL" "NULL" "transcriptional regulator, XRE family" "NULL" "NULL" "NULL" "NULL" "PF07883.10" "Cupin_2" "-" "NULL" "NULL" "NULL" "NULL" "COG1917" "COG1917" "Uncharacterized conserved protein, contains double-stranded beta-helix domain" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"181" "NMG90_01005" 12845.7096544797 0.329381289782797 0.16633992954908 1.98016970835382 0.0476844623895906 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF09335.10" "SNARE_assoc" "-" "NULL" "NULL" "NULL" "NULL" "COG0586" "DedA" "Uncharacterized membrane-associated protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"196" "NMG90_01080" 5070.47900345856 -0.24936737723988 0.1260606443305 -1.97815407468568 0.0479113278474677 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF01910.16" "Thiamine_BP" "-" "NULL" "NULL" "NULL" "NULL" "COG0011" "COG0011" "Uncharacterized conserved protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"200" "NMG90_01100" 947.116121326186 0.926857580712639 0.358931757362769 2.58226685630347 0.00981536560129044 1 "NULL" "NULL" "yuzL-like family protein" "NULL" "NULL" "NULL" "NULL" "PF14115.5" "YuzL" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"204" "NMG90_01120" 6417.18624246569 0.826249821721101 0.344819844654092 2.39617827839914 0.0165670301585014 1 "NULL" "NULL" "Beta-lactamase domain protein" "NULL" "NULL" "NULL" "NULL" "PF00753.26" "Lactamase_B" "-" "NULL" "NULL" "NULL" "NULL" "COG0491" "GloB" "Zn-dependent hydrolases, including glyoxylases" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"228" "NMG90_01240" 264.278695787645 0.501367232592274 0.237612870606988 2.11001715231805 0.0348568784899506 1 "lytH" "K21472" "peptidoglycan LD-endopeptidase LytH" "NULL" "NULL" "NULL" "NULL" "PF01551.21" "Peptidase_M23" "-" "NULL" "NULL" "NULL" "NULL" "COG0739" "NlpD" "Membrane proteins related to metalloendopeptidases" "Cell envelope biogenesis, outer membrane" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"233" "NMG90_01265" 3560.77388348374 0.281834524425978 0.121551611060034 2.31864079766726 0.0204145210459314 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF10086.8" "DUF2324" "-" "NULL" "NULL" "NULL" "NULL" "COG4377" "COG4377" "Predicted membrane protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"305" "NMG90_01630" 15.1111041971675 -1.15247357042972 0.555843894772195 -2.07337632250517 0.0381372707259136 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"317" "NMG90_01810" 76.2258636675487 0.500811486672572 0.240422510510509 2.08304740520826 0.0372469027322334 1 "lip, TGL2" "K01046" "triacylglycerol lipase" "M00098" "Acylglycerol degradation" "ko00561==ko01100" "Glycerolipid metabolism==Metabolic pathways" "PF01764.24" "Lipase_3" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "KOG4569" "KOG4569" "Predicted lipase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"368" "NMG90_02070" 259.775246326253 -0.484095608835686 0.189120530935914 -2.55972001791666 0.0104756521953694 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"405" "NMG90_02255" 61.7342344350087 0.576275701385208 0.256972887538903 2.24255448465538 0.0249255581145409 1 "NULL" "NULL" "putative hydrolase" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"416" "NMG90_02310" 574.179336829133 -0.373425592366552 0.185571970006857 -2.01229524239438 0.044188823660216 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF09962.8" "DUF2196" "-" "NULL" "NULL" "NULL" "NULL" "COG4895" "COG4895" "Uncharacterized conserved protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"459" "NMG90_02535" 1286.50488031147 -0.242613411433612 0.111360953532135 -2.17862189338746 0.0293597684048841 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF01503.16" "PRA-PH" "-" "NULL" "NULL" "NULL" "NULL" "COG4696" "COG4696" "Uncharacterized protein conserved in bacteria" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"523" "NMG90_02860" 2466.67127543815 -0.302952554560862 0.134453145098266 -2.25322028978532 0.0242452627073078 1 "mscL" "K03282" "large conductance mechanosensitive channel" "NULL" "NULL" "NULL" "NULL" "PF01741.17" "MscL" "-" "NULL" "NULL" "NULL" "NULL" "COG1970" "MscL" "Large-conductance mechanosensitive channel" "Cell envelope biogenesis, outer membrane" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
